#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zurzeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x
CAN_ONLY_JOIN_X_FACTIONS;§ROnly allowed to join §Y$NUM$§! Factions!§!;§RVous ne pouvez rejoindre que §Y$NUM$§! Factions !§!;Ihr dürft nur §Y$NUM$§! Fraktionen beitreten!;;¡Solo puedes unirte a §Y$NUM$§! Facciones!;;;;;;;;;x
EVTDESC91355;My [GetFromRelation] [From.GetTitledFirstName] just will not give up. [From.GetSubjectPronounCap] makes some most persuasive arguments about why I need to overcome my forbidden, haram, desires. For the sake of my soul, my dynasty and my religion, I need to repent.;M[From.GetOnA] [GetFromRelation], [From.GetTitledFirstName], refuse de se calmer. [From.GetIlElleCap] utilise des arguments très persuasifs pour me raisonner et me faire abandonner mes désirs interdits et haram. Pour le salut de mon âme, de ma dynastie et de ma religion, je dois me repentir.;Mein [GetFromRelation] [From.GetTitledFirstName] wird nicht einfach aufgeben. [From.GetSubjectPronounCap] bringt einige höchst überzeugende Argumente, warum ich meine verbotenen Haramwünsche aufgeben sollte. Für das Wohl meiner Seele, meiner Dynastie und meiner Religion - ich muss Buße tun.;;Mi [GetFromRelation] [From.GetTitledFirstName] no se rinde. [From.GetSubjectPronounCap] argumenta persuasivamente por qué debo sobreponerme a mis deseos haram prohibidos. Por el bien de mi alma, mi dinastía y mi religión, he de arrepentirme.;;;;;;;;;x
EVTOPTA91355;I know I am weak. Too weak!;Je suis faible, je le sais bien. Trop faible !;Ich weiß, ich bin schwach. Zu schwach!;;¡Sé que soy débil, DEMASIADO!;;;;;;;;;x
EVTOPTB91355;Though it's hard, I shall walk the narrow path.;J'emprunterai ce chemin étroit, même si c'est difficile.;Obschon es schwer ist, werde ich den Pfad der Tugend gehen.;;Aunque es duro, he de andar el camino acotado.;;;;;;;;;x
EVTDESC91356;I just cannot get through to my wastrel [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] is simply too weak and obstinate.;Je n'arrive vraiment pas à convaincre m[From.GetOnA] [GetFromRelation] [From.GetFirstName], c'est à désespérer ! [From.GetIlElleCap] est simplement trop faible et obstiné[From.GetNoneE] !;Ich konnte einfach nicht zu [GetFromRelation] [From.GetFirstName] durchdringen! [From.GetSubjectPronounCap] ist einfach zu schwach und eigensinnig.;;¡No puedo llegar a mi perezoso [GetFromRelation] [From.GetFirstName]! [From.GetSubjectPronounCap] es demasiado débil y obstinado.;;;;;;;;;x
EVTDESC91357;My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.;M[From.GetOnA] [GetFromRelation] [From.GetBestName] comprend que sa vie est du côté haram et m'a promis de grands changements dans son attitude.;Mein [GetFromRelation] [From.GetBestName] versteht jetzt, dass [From.GetSubjectPronoun] ein Leben in Haram lebt. [From.GetSubjectPronoun] versichert mir, sich zu ändern.;;Mi [GetFromRelation] [From.GetBestName] comprende que vive una vida de haram, y me ha asegurado que [From.GetSubjectPronoun] está mentalizado para cambiar sus costumbres.;;;;;;;;;x
EVTDESC91360;My [GetFromRelation] [From.GetTitledFirstName] is back to persuade my to abandon my forbidden, haram, desires. [From.GetSubjectPronounCap] quotes the Koran and the Hadiths like a mufti and threatens me with the fires of Jehennom in the afterlife...;M[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName] revient à la charge pour me convaincre d'abandonner mes désirs interdits et haram. [From.GetIlElleCap] cite le Coran et les Hadith comme un mufti et me menace des feux de la Géhennem après ma mort...;Mein [GetFromRelation] [From.GetTitledFirstName] versucht erneut mich zu überzeugen, meine verbotenen Haramwünsche aufzugeben. [From.GetSubjectPronounCap] zitiert den Koran und die Hadithe gleich einem Mufti und droht mir mit den Feuern Gehennas im Nachleben...;;Mi [GetFromRelation] [From.GetTitledFirstName] ha vuelto para persuadirme de abandonar mis prohibidos deseos haram. [From.GetSubjectPronounCap] cita el Corán y los Hadiz como un muftí y me amenaza con los fuegos del Yahannam en la otra vida...;;;;;;;;;x
EVTOPTA91360;Do I look like a believer?;J'ai vraiment l'air de croire à tout ça ?;Sehe ich aus wie ein Gläubiger?;;¿Parezco un creyente?;;;;;;;;;x
EVTOPTB91360;I must join the Bektashi!;Je dois rejoindre les Bektachis !;Ich werde den Bektashi beitreten!;;¡Me uniré a la Bektashi!;;;;;;;;;x
EVTOPTC91360;I must join the Hashshashin!;Je dois rejoindre les Hashshâshîns !;Ich werde den Hashshashim beitreten!;;¡Debo unirme a los Nizaríes!;;;;;;;;;x
EVTOPTD91360;I must go on the Hajj to Mecca!;Je dois accomplir le hajj à La Mecque !;Ich werde auf Haddsch nach Mekka gehen!;;¡Debo ir en Hajj a la Meca!;;;;;;;;;x
EVTOPTE91360;I will donate money to charity!;Je dois donner de l'argent à une bonne œuvre !;Ich werde wohltätig Geld spenden!;;¡Donaré dinero a la caridad!;;;;;;;;;x
EVTDESC91361;My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations. [From.GetSubjectPronounCap] will join a holy order in order to serve Allah best!;M[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName] a fondu en larme sous l'émotion face à mes exhortations. [From.GetIlElleCap] rejoindra un ordre sacré afin de servir Allah au mieux !;Mein [GetFromRelation] [From.GetTitledFirstName] war von meinen Ausführungen zu Tränen gerührt. [From.GetSubjectPronounCap] wird einem heiligen Orden beitreten und Allah dienen!;;Mi [GetFromRelation] [From.GetTitledFirstName] echó a llorar por mis ardientes exhortaciones. ¡[From.GetSubjectPronounCap] se unirá a una orden sagrada para servir mejor a Ala!;;;;;;;;;x
EVTOPTA91361;[From.GetSubjectPronounCap] makes me proud!;[From.GetIlElleCap] me remplit de fierté !;[From.GetSubjectPronounCap] macht mich stolz!;;¡Me enorgullezco de [From.GetSubjectPronoun]!;;;;;;;;;x
EVTDESC91362;My [GetFromRelation] [From.GetTitledFirstName] was moved to tears by my fiery exhortations and left immediately for the holy pilgrimage to Mecca - the Hajj.;M[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName] a fondu en larmes face à mes exhortations enflammées et a immédiatement amorcé son hajj à La Mecque.;Mein [GetFromRelation] [From.GetTitledFirstName] war von meinen Ausführungen zu Tränen gerührt und ist sofort zur heiligen Pilgerschaft nach Mekka - dem Haddsch - aufgebrochen.;;Mi [GetFromRelation] [From.GetTitledFirstName] echó a llorar por mis ardientes exhortaciones y partió inmediatamente en sagrada peregrinación a la Meca - el Hajj.;;;;;;;;;x
EVTOPTA91362;A pious choice!;Pieuse décision !;Eine fromme Wahl!;;¡Una elección piadosa!;;;;;;;;;x
EVTDESC91363;My [GetFromRelation] [From.GetTitledFirstName] was shaken by the strength of my pious arguments and promised to reform [From.GetPossPronoun] ways, starting with a generous donation to charity.;M[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName] a cédé face à la force de mes arguments remplis de foi et m'a promis de changer son comportement, en commençant par une généreuse aumône aux pauvres.;Mein [GetFromRelation] [From.GetTitledFirstName] wurde von der Stärke meiner frommen Argumente bewegt und versprach, [From.GetPossPronoun] Leben zu ändern, beginnend mit großzügigen Spenden.;;Mi [GetFromRelation] [From.GetTitledFirstName], movido por la fuerza de mis piadosos argumentos, ha prometido reformar sus costumbres, comenzando con una generosa donación a la caridad.;;;;;;;;;x
EVTOPTA91363;There is hope for [From.GetObjectPronoun] yet!;Il y a encore de l'espoir pour [From.GetLuiElle] !;Es gibt noch Hoffnung für [From.GetObjectPronoun]!;;¡Aún hay esperanza para [From.GetObjectPronoun]!;;;;;;;;;x
EVTDESC91365;I woke up to a dreadful stench and found my room full of the rotting carcasses of dogs and pigs. As I staggered out through the door, a shadowy figure crept up from behind and held a knife to my throat, whispering 'This is what your life is like. Imagine your death...' before disappearing without a trace!;J'ai été réveillé par une abominable puanteur et j'ai vu ma chambre emplie de carcasses de chiens et de cochons. Alors que je me dirigeais vers la porte en titubant, une ombre a surgi derrière moi et a porté un couteau à ma gorge en chuchotant: « Voilà à quoi ressemble ta vie. Imagine ce qu'il en sera de ta mort... » avant de disparaître sans laisser de traces !;Ich wurde durch furchtbaren Gestank geweckt und fand meinen Raum voller verwesender Kadaver von Hunden und Schweinen vor. Als ich durch die Tür wankte, hielt eine vermummte Gestalt ein Messer an meinen Hals und flüsterte: "Dies ist Euer Leben. Stellt Euch Euren Tod vor..." und verschwand spurlos.;;Un tremendo hedor me despertó y encontré mi habitación llena de cadáveres de perros y cerdos. Mientras me tambaleaba hacia la puerta, una figura sombría reptó a mi espalda y, sosteniendo un cuchillo en mi garganta, susurró 'Así es tu vida. Imagina tu muerte...' ¡Antes de desvanecerse!;;;;;;;;;x
EVTOPTA91365;[From.GetTitledFirstName] cannot scare me with theatrics!;[From.GetTitledFirstName] ne m'effraiera pas avec ses stratagèmes !;[From.GetTitledFirstName] kann mir keine Angst einjagen!;;¡[From.GetTitledFirstName] no me asustará con pantomimas!;;;;;;;;;x
EVTOPTB91365;Maybe I had better shape up...;Je devrais peut-être me reprendre en main...;Vielleicht sollte ich mich bessern...;;Puede que lo mejor sea enderezarse...;;;;;;;;;x
EVTOPTC91365;This is just too much. Life is not worth living!;Ça va vraiment trop loin. La vie ne vaut pas la peine d'être vécue !;Das ist zu viel! Das Leben ist nicht lebenswert!;;Esto es demasiado. ¡No merece la pena vivir!;;;;;;;;;x
EVTDESC91366;I arranged a very unpleasant 'awakening' for my decadent [GetFromRelation] [From.GetTitledFirstName], but [From.GetSubjectPronoun] remains stubbornly committed to [From.GetPossPronoun] hedonism, bringing shame on our House.;J'ai organisé un «réveil» très déplaisant pour m[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName] qui m'a fait si honte, mais [From.GetIlElle] demeure obstinément confit dans son hédonisme et ma honte ne fait que croître.;Ich arrangierte ein sehr unangenehmes "Erwachen" für meinen dekadenten [GetFromRelation] [From.GetTitledFirstName], doch [From.GetSubjectPronoun] bleibt stur [From.GetPossPronoun]em Hedonismus treu und bringt weiter Schande über unser Haus.;;He preparado un desagradable 'despertar' para mi decadente [GetFromRelation] [From.GetTitledFirstName], pero [From.GetSubjectPronoun] continúa obcecado en su hedonismo, trayendo la vergüenza a nuestra casa.;;;;;;;;;x
EVTDESC91367;The little nightmare I staged seems to have worked on my decadent [GetFromRelation] [From.GetTitledFirstName], who is scared witless and has promised to renounce [From.GetPossPronoun] shameful hedonism!;Le petit cauchemar que j'ai organisé semble avoir fait son effet sur m[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName]. [From.GetIlElleCap] tremble littéralement de peur et a promis de renoncer à son hédonisme qui me fait si honte !;Der kleine Albtraum, den ich aufführen ließ, scheint Wirkung auf meinen dekadenten [GetFromRelation] [From.GetTitledFirstName] zu zeigen. Voller Angst versprach er, [From.GetPossPronoun]en schamlosen Hedonismus aufzugeben.;;La pequeña pesadilla que he preparado parece haber funcionado con mi decadente [GetFromRelation] [From.GetTitledFirstName], ¡que tiene un susto de muerte y ha prometido poner fin a su vergonzoso hedonismo!;;;;;;;;;x
EVTDESC91368;It seems the nighttime show I put on for my decadent [GetFromRelation] [From.GetTitledFirstName] was a little too much. [From.GetSubjectPronounCap] chose to jump from a tower rather than live a righteous life as a true Muslim!;Il semble que le petit spectacle que j'ai préparé pour m[From.GetOnA] [GetFromRelation] [From.GetTitledFirstName] la nuit dernière soit allé un peu trop loin. [From.GetIlElleCap] a choisi de se jeter du haut d'une tour plutôt que de vivre en accord avec l'islam.;Der kleine Albtraum, den ich aufführen ließ, war wohl ein wenig zu viel für meinen dekadenten [GetFromRelation] [From.GetTitledFirstName]. Statt das rechtschaffene Leben des wahren Muslim zu leben, warf [From.GetSubjectPronounCap] sich lieber von einem Turm!;;Parece que el espectáculo nocturno que preparé para mi decadente [GetFromRelation] [From.GetTitledFirstName] era demasiado. ¡[From.GetSubjectPronounCap] ha preferido saltar de una torre a llevar la vida recta de un verdadero musulmán!;;;;;;;;;x
EVTOPTA91368;Shameful! Good riddance.;Quelle honte ! Bon débarras.;Wie schändlich! Aber guter Abgang.;;¡Vergonzoso! Qué alivio.;;;;;;;;;x
EVTTOOLTIP91351;Tell [This.GetFirstName] to mind his own business!;Lui dire de s'occuper de ses affaires !;Sagt [This.GetFirstName], er soll sich um seine eigenen Angelegenheiten kümmern!;;¡Decir a [This.GetFirstName] que se meta en lo suyo!;;;;;;;;;x
EVTTOOLTIP91352;Promise [This.GetFirstName] to lead a righteous life!;Lui promettre de mener une vie vertueuse !;Versprecht [This.GetFirstName], ein rechtschaffenes Leben zu führen!;;¡Prometer a [This.GetFirstName] que llevarás una vida recta!;;;;;;;;;x
EVTTOOLTIP91355;Make a better attempt at convincing [This.GetFirstName];Tenter de mieux convaincre [This.GetFirstName];Versucht erneut, [This.GetFirstName] zu überzeugen;;Hacer un mejor intento de convencer a [This.GetFirstName];;;;;;;;;x
EVTTOOLTIP91360;Present the best religious arguments to [This.GetFirstName];Présenter les meilleurs arguments religieux à [This.GetFirstName];Präsentiert [This.GetFirstName] religiöse Argumente;;Presentar los mejores argumentos religiosos a [This.GetFirstName];;;;;;;;;x
EVTTOOLTIP91365;Arrange for some nasty nighttime theatrics to scare [This.GetFirstName] in [From.GetPossPronoun] room;Préparer une mise en scène macabre dans la chambre de [This.GetFirstName] pour l'effrayer;Arrangiert ein unangenehmes nächtliches Schauspiel, um [This.GetFirstName] zu verängstigen;;Montar una pantomima nocturna para asustar a [This.GetFirstName] en su habitación;;;;;;;;;x
patron_shiva;Patron Deity: Shiva;Divinité protectrice : Shiva;Schutzgott: Shiva;;Deidad Protectora: Shiva;;;;;;;;;x
patron_vishnu;Patron Deity: Vishnu;Divinité protectrice : Vishnou;Schutzgott: Vishnu;;Deidad Protectora: Vishnu;;;;;;;;;x
patron_brahma;Patron Deity: Brahma;Divinité protectrice : Brahma;Schutzgott: Brahma;;Deidad Protectora: Brahma;;;;;;;;;x
patron_kali;Patron Deity: Kali;Divinité protectrice : Kali;Schutzgott: Kali;;Deidad Protectora: Kali;;;;;;;;;x
patron_ganesha;Patron Deity: Ganesha;Divinité protectrice : Ganesh;Schutzgott: Ganesha;;Deidad Protectora: Ganesha;;;;;;;;;x
patron_ganga;Patron Deity: Ganga;Divinité protectrice : Gangâ;Schutzgott: Ganga;;Deidad Protectora: Ganga;;;;;;;;;x
hold_tiger_hunt;Hold a Tiger Hunt;Organiser une chasse au tigre;Veranstaltet eine Tigerjagd;;Organizar una cacería de tigres;;;;;;;;;x
hold_tiger_hunt_desc;Tiger hunting is not only a noble sport but also an occasion to meet your vassals to forge bonds of friendship and discuss important business.;La chasse au tigre est non seulement un sport noble, mais également une occasion de rencontrer vos vassaux, former avec eux des liens d'amitié et discuter de sujets importants.;Tiger zu jagen ist nicht nur ein edler Sport, sondern auch eine Gelegenheit, Eure Vasallen zu treffen, Freundschaften zu schließen und wichtige Geschäfte zu besprechen.;;La cacería de tigres no es solo un noble deporte sino la ocasión para encontrarte con tus vasallos, forjar lazos de amistad y hablar de importantes negocios.;;;;;;;;;x
#indian_pilgrimage;;;;;;;;;;;;;;x
#indian_pilgrimage_desc;;;;;;;;;;;;;;x
choose_hindu_patron_deity;Choose a Patron Deity;Choisir une divinité protectrice;Wählt einen Schutzgott.;;Elige una deidad protectora.;;;;;;;;;x
choose_hindu_patron_deity_desc;You can choose a personal patron deity from among the most powerful of the many gods and godesses of the Hindu faith. People will associate your rule with that deity and some aspects of government will be strengthened as a result, though you should be aware that this always has a cost in some other area. There are those who argue that it's best to stay neutral and anger no one.;Vous pouvez choisir une divinité protectrice pour vous-même parmi les plus puissants dieux et déesses de l'hindouisme. On associera votre règne à celui de cette divinité et certains aspects de votre gouvernement seront renforcés en conséquence. Prenez garde cependant : d'autres domaines seront pénalisés. Il y a ceux qui disent qu'il vaut mieux rester neutre et ne froisser personne.;Ihr könnt einen persönlichen Schutzgott aus den mächtigsten der vielen Götter des Hinduismus wählen. Das Volk wird Eure Herrschaft mit dieser Gottheit verbinden. Als Folge daraus werden einige Bereiche der Regierung gestärkt, doch stets zum Nachteil in anderen Bereichen. Einige meinen, es sei das Beste, neutral zu bleiben und niemanden zu verärgern.;;Puedes elegir una deidad protectora de entre los más poderosos de los muchos dioses y diosas de la fe Hindú. La gente asociará tu mandato con esa deidad y algunos aspectos del gobierno se fortalecerán por ello, aunque debes tener en cuenta que siempre supondrá un coste en otra área. Hay quien dice que es mejor mantenerse neutral y no enfadar a ninguno.;;;;;;;;;x
EVTDESC_RoI_100;These are the three gods of the Trimurti, the Great Trinity. Perhaps I should choose one of them as my patron deity?;Il y a les trois dieux de la Trimurti, la Grande Trinité. Peut-être devrais-je choisir l'un d'eux comme divinité protectrice ?;Dies sind die Götter der Trimurti, der Großen Dreifaltigkeit. Vielleicht sollte ich einen von ihnen als Schutzgott wählen?;;Estos son los tres dioses del Trímurti, La Gran Trinidad. ¿Quizá debiera elegir uno como deidad protectora?;;;;;;;;;x
EVTOPTA_RoI_100;Fair Shiva with His trident.;Le beau Shiva armé de son trident.;Der gute Shiva mit Seinem Dreizack;;El Justo Shiva con Su tridente.;;;;;;;;;x
EVTOPTB_RoI_100;All-powerful, crowned Vishnu.;Vishnou le Tout-Puissant et sa couronne.;Der allmächtige, gekrönte Vishnu;;El todopoderoso y coronado Vishnu.;;;;;;;;;x
EVTOPTC_RoI_100;Mighy Brahma, He of four faces.;Brahma aux quatre visages.;Der mächtige Brahma, Er mit den vier Gesichtern;;El poderoso Brahma, el de cuatro caras.;;;;;;;;;x
EVTOPTD_RoI_100;There are other powerful deities as well...;Il existe également d'autres puissantes divinités...;Es gibt noch andere mächtige Götter...;;También hay otras poderosas deidades...;;;;;;;;;x
