#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
OCCUPATION_WARSCORE_LIMIT_DEFENDERS;Warscore from occupation is limited to $VALUE$ for defenders with this casus belli;Le score de guerre est limité à $VALUE$ pour les défenseurs avec ce casus belli;Kriegsstand durch Besetzung ist für Verteidiger mit diesem Kriegsgrund begrenzt auf $VALUE$;;Puntuación de guerra por ocupación se limita a $VALUE$ para defensores con este casus belli.;;;;;;;;;x
BECOME_SECRET_HERETIC_EFFECT;Secretly embraces the $HERESY|Y$ heresy.\n;Embrasse secrètement l'hérésie $HERESY|Y$.\n;Im geheimen die Ketzerei $HERESY|Y$ einführen.\n;;Adopta en secreto la herejía $HERESY|Y$.\n;;;;;;;;;x
OFFMAP_NEWS_TRIGGER_NOT;Is NOT receiving news from $OFFMAP|Y$;Ne reçoit pas de nouvelles de $OFFMAP|Y$;Erhält keine Neuigkeiten von $OFFMAP|Y$;;NO recibe noticias de $OFFMAP|Y$;;;;;;;;;x
OFFMAP_NEWS_TRIGGER;Is receiving news from $OFFMAP|Y$;Reçoit des nouvelles de $OFFMAP|Y$;Erhält Neuigkeiten von $OFFMAP|Y$;;Recibe noticias de $OFFMAP|Y$;;;;;;;;;x
MAPMODE_OFFMAP_GOVERNOR;§YGovernor of $OFFMAP$§!;§YGouverneur de $OFFMAP$§!;§YGourverneur von $OFFMAP$§!;;§YGobernador de $OFFMAP$§!;;;;;;;;;x
#MAPMODE_OFFMAP_NAP;§YNon-aggression pact with $OFFMAP$§!;§YPacte de non-agression avec $OFFMAP$§!;§YNichtangriffspakt mit $OFFMAP$§!;;§YPacto de no agresión con $OFFMAP$§!;;;;;;;;;x
MAPMODE_OFFMAP_TRIBUTARY;§YTributary of $OFFMAP$§!;§YTributaire de $OFFMAP$§!;§YTributstaat von $OFFMAP$§!;;§YTributario de $OFFMAP$§!;;;;;;;;;x
MAPMODE_OFFMAP_RANGE;§YIn diplomatic range of $OFFMAP$§!;§YÀ portée diplomatique de $OFFMAP$§!;§YIn diplomatischer Reichweite von $OFFMAP$§!;;§YAl alcance diplomático de $OFFMAP$§!;;;;;;;;;x
TRADE_ROUTE_VALUE_REDUCED;Sieges and occupation has reduced the effect of the trade route by $VALUE|Y$% in this province;Les sièges et l'occupation ont réduit l'effet de la route commerciale de $VALUE|Y%$ dans cette province;Belagerungen und Besetzung hat den Wert der Handelsroute dieser Provinz um §Y$VALUE$%§! reduziert;;Sitios y ocupación han reducido el efecto de la ruta comercial de esta provincia en un $VALUE|Y$%;;;;;;;;;x
TRADE_ROUTE_VALUE_REDUCED_BY_THIS;The hostilities in this province reduces the effects of the trade route by $VALUE|Y$% downstream;Les hostilités dans cette province réduisent les effets de la route commerciale de $VALUE|Y%$ en aval;Die Feindseligkeiten dieser Provinz haben den Wert der Handelsroute Flussabwärts um §Y$VALUE$%§! reduziert;;Las hostilidades en esta provincia reducen los efectos de la ruta comercial en un $VALUE|Y$%;;;;;;;;;x
OFFMAP_NEWS;Receive News;Nouvelles;Neuigkeiten erhalten;;Recibir noticias;;;;;;;;;x
OFFMAP_NEWS_TOOLTIP;§YReceive News§!;§YRecevoir les nouvelles§!;§YNeuigkeiten erhalten§!;;§YRecibir noticia§!;;;;;;;;;x
OFFMAP_NEWS_TOOLTIP_DESC;If enabled, you will receive occasional updates about what happens in [Root.GetShortGenericName];Si activé, vous recevrez occasionnellement des nouvelles de ce qu'il se passe en [Root.GetShortGenericName];Wenn aktiviert, erhaltet Ihr gelegentlich Informationen darüber, was in [Root.GetShortGenericName] passiert;;Si se activa, de vez en cuando recibirás actualizaciones de lo que pasa en [Root.GetShortGenericName];;;;;;;;;x
OFFMAP_TRIBUTARIES;Tributaries;Tributaires;Tributstaaten;;Tributarios;;;;;;;;;x
OFFMAP_TRIBUTARIES_TOOLTIP;§YTributaries§!;§YTributaires§!;§YTributstaaten§!;;§YTributarios§!;;;;;;;;;x
#OFFMAP_TRIBUTARIES_TOOLTIP_DESC;Attacking a tributary of the $OFFMAP|Y$ is likely to invoke their wrath.;Attaquer un tributaire de $OFFMAP|Y$ risque de provoque leur colère.;Einen Tributstaat von $OFFMAP|Y$ anzugreifen wird vermutlich ihren Zorn auf Euch bringen.;;Atacar a un tributario de $OFFMAP|Y$ probablemente provoque su ira.;;;;;;;;;x
OFFMAP_NAPS;Peace Deals;Accords de paix;Friedensverträge;;Acuerdos de paz;;;;;;;;;x
OFFMAP_NAPS_TOOLTIP;§YPeace Deals§!;§YAccords de paix§!;§YFriedensverträge§!;;§YAcuerdos de paz§!;;;;;;;;;x
OFFMAP_NAPS_TOOLTIP_DESC;Rulers may sign Peace Deals with the [Root.GetName], to ensure that they will not be the target of an invasion.;Les dirigeants peuvent signer un accord de paix avec [Root.GetName] afin de s'assurer de ne pas être la cible d'une invasion.;Herrscher können Friedensverträge mit [Root.GetName] unterzeichnen, um sicherzustellen, dass sie nicht das Ziel einer Invasion sein werden.;;Los gobernantes pueden firmar acuerdos de paz con [Root.GetName] para garantizar que no serán objetos de una invasión.;;;;;;;;;x
OFFMAP_GRACE_TOOLTIP;This is your current §Y[Root.GetCurrency]§! with the §Y[Root.Ruler.GetOnlyDynastyName] Dynasty§!!;Voici votre §Y[Root.GetCurrency]§! avec la dynastie des §Y[Root.Ruler.GetOnlyDynastyName]§! !;Das ist Eure momentane §Y[Root.GetCurrency]§! mit der §Y[Root.Ruler.GetOnlyDynastyName]-Dynastie§!!;;Esta es tu §Y[Root.GetCurrency]§! actual con la §Ydinastía [Root.Ruler.GetOnlyDynastyName]§!;;;;;;;;;x
OFFMAP_GRACE_TOOLTIP_GAIN;Monthly gain:;Gain mensuel:;Monatlicher Erhalt:;;Ganancia mensual:;;;;;;;;;x
OFFMAP_GRACE_TOOLTIP_DESC;[Root.GetCurrency] can be gained by giving tribute to [Root.GetFullName], and can be used to gain a variety of boons.;Vous pouvez gagner de la [Root.GetCurrency] en envoyant un tribut à l'[Root.GetFullName], et ensuite l'utiliser afin d'obtenir diverses faveurs.;[Root.GetCurrency] kann erhalten werden, indem [Root.GetFullName] Tribut erbracht wird und kann für eine Reihe Gefallen benutzt werden.;;Se puede ganar [Root.GetCurrency] dando tributo a [Root.GetFullName] y se puede usar para conseguir una serie de regalos.;;;;;;;;;x
OFFMAP_PREV_STATUS;Previous status was $STATUS|Y$;Le statut précédent était '$STATUS|Y$';Vorheriger Status war $STATUS|Y$;;Estatus previo era $STATUS|Y$;;;;;;;;;x
OFFMAP_PREV_POLICY;Previous policy was $POLICY|Y$;La politique précédente était '$POLICY|Y$';Vorherige Politik war $POLICY|Y$;;Política previa era $POLICY|Y$;;;;;;;;;x
EFFECT_ON_OFFMAP;Effect on [Root.Governor.GetBestName]:;Effet sur [Root.Governor.GetBestName]:;Auswirkung auf [Root.Governor.GetBestName];;Efecto sobre [Root.Governor.GetBestName]:;;;;;;;;;x
OFFMAP_POLICY;Policy: $POLICY|Y$;Politique: $POLICY|Y$;Politik: $POLICY|Y$;;Política: $POLICY|Y$;;;;;;;;;x
OFFMAP_STATUS;Status: $STATUS|Y$;Statut: $STATUS|Y$;Status: $STATUS|Y$;;Estatus: $STATUS|Y$;;;;;;;;;x
TRADE_ROUTE_VALUE_MULTIPLIER_EFFECT;The value of the $ROUTE|Y$ will be set to $VALUE|Y$% of its normal value;La valeur de la $ROUTE|Y$ sera à $VALUE|Y%$ de sa valeur normale;Der Wert der Route $ROUTE|Y$ wird auf §Y$VALUE$§! seines Normalwertes gesetzt;;El valor de $ROUTE|Y$ se fijará en un $VALUE|Y$% de su valor normal;;;;;;;;;x
TRADE_ROUTE_BASE_VALUE_EFFECT;The base value of the $ROUTE|Y$ will be set to $VALUE|Y$;La valeur de base de la $ROUTE|Y$ sera de $VALUE|Y$;Der Normalwert der Route $ROUTE|Y$ wird auf $VALUE|Y$ gesetzt;;El valor base de $ROUTE|Y$ se fijará en $VALUE|Y$;;;;;;;;;x
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n$ROUTE|Y$\nThe $ROUTE|Y$ brings trade through this county.\n;\n$ROUTE|Y$\nLa $ROUTE|Y$ apporte du commerce dans cette province.\n;\n$ROUTE|Y$\nDie Route $ROUTE|Y$ bringt Handel durch das Land.\n;;\n$ROUTE|Y$\n$ROUTE|Y$ trae comercio a este país.\n;;;;;;;;;x
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n$ROUTE|Y$\n§RA situation near the source of the §!$ROUTE|Y$§R is causing it to be inactive. Given time, this is likely to change.§!\n;\n$ROUTE|Y$\n§RUn lieu à proximité de la source de la §!$ROUTE|Y$§R la rend inactive. Avec le temps, cela devrait changer.§!\n;\n$ROUTE|Y$\n§REine Gegebenheit nahe der Quelle von §!$ROUTE|Y$§R macht sie inaktiv. Mit der zeit wird sich das sicherlich ändern.§!\n;;\n$ROUTE|Y$\n§Runa situación cerca del origen de §!$ROUTE|Y$§R le deja inactiva. Con tiempo, es probable que cambie.§!\n;;;;;;;;;x
OFFMAP_GRACE;Grace;Grâce;Gunst;;Gracia;;;;;;;;;x
TRADE_ROUTE_TRADE_CENTER_UNOWNED;§YPotential Trade Post§!;§YComptoir potentiel§!;§YPotenzieller Handelsposten§!;;§YPuesto comercial potencial§!;;;;;;;;;x
TRADE_ROUTE_TRADE_CENTER_OWNED;§YTrade Post Owned by§! $OWNER|Y$;§YComptoir possédé par $OWNER|Y$§!;§YHandelsposten in Besitz von§! $OWNER|Y$;;§YPuesto comercial posesión de§! $OWNER|Y$;;;;;;;;;x
TRADE_ROUTE_TRADE_CENTER_DESC;Some counties have great potential for trade due to their strategic position on a trade route.\nThe owner of the province may build a trade post to reap great economic benefits.;Certains comtés ont un grand potentiel de commerce en raison de leur position stratégique sur une route commerciale.\nLe propriétaire de la province peut construire un comptoir pour obtenir de grands avantages économiques.;Einige Grafschaften haben, aufgrund ihrer Position auf einer Handelsroute, großes Potenzial.\nDer Besitzer der Provinz kann einen Handelsposten bauen, um große wirtschaftliche Vorteile zu ernten.;;Algunos condados tienen mayor potencial para el comercio debido a su posición estratégica en una ruta comercial.\nEl dueño de la provincia puede construir un puesto comercial para cosechar grandes beneficios económicos.;;;;;;;;;x
TXT_GRACE_desc;\nGrace is gained by §YPaying Tribute§! to the current Emperor, you can use accumulated Grace to §GAsk for Boons§!. Any Grace you have accumulated will be passed on to your heir during succession.\n§RAll Grace is lost should the Dynasty change in China!§!;\nLa Grâce est obtenue en §Ypayant un tribut§! à l'Empereur actuel. Vous pouvez l'utiliser ensuite pour demander une §Gfaveur§!. Toute la Grâce accumulée sera héritée à la succession.\n§RToute Grâce serait perdue si la dynastie venait à changer en Chine !§!;\nGunst wird durch §YZahlung von Tribut§! an den gegenwärtigen Kaiser gewonnen und wird für das §GAnfordern von Gefallen§! benutzt. Die gesamte angesammelte Gunst, wird bei Erbfolge an den Erben übertragen.\n§RJegliche Gunst geht verloren, wenn sich die herrschende Dynastie Chinas ändert!§!;;\nSe gana gracia §Ypagando tributos§!al Emperador actual. Se puede usar la gracia acumulada solicitando §GRegalos§! Toda la gracia acumulada pasara a nuestro heredero en la sucesión.\n§R¡Si hay un cambio de dinastía en China, se perderá toda la gracia!§!;;;;;;;;;x
INTERESTED_IN_SOCIETY_TRIGGER_NOT;Does not show interest in joining the $SOCIETY$;Ne montre pas d'intérêt à rejoindre $SOCIETY$;Zeigt kein Interesse, der $SOCIETY$ beizutreten;;No muestra interés por unirse a $SOCIETY$;;;;;;;;;x
#INTERESTED_IN_SOCIETY_TRIGGER_NOT;Does not show interest in joining the $SOCIETY$;;Zeigt kein Interesse, der $SOCIETY$ beizutreten;;No muestra interés por unirse a $SOCIETY$;;;;;;;;;x
#alert_non_playable_heir_instant;Unplayable heir;Héritier non jouable;Nicht spielbarer Erbe;;Heredero injugable;;;;;;;;;x
#alert_non_playable_heir_delayed;§YDue to your heir's religion the game will end if they inherit§!;§YVous perdrez la partie à la mort de votre personnage, à cause de la religion de votre héritier§!;§YAufgrund der Religion Eures Erben wird das Spiel enden, sollten sie Erben§!;;§YDebido a la religión de tu heredero, si hereda, terminará la partida§!;;;;;;;;;x
confucian_bureaucracy;Confucian Bureaucracy;Bureaucratie confucéenne;Konfuzianische Bürokratie;;Burocracia confuciana;;;;;;;;;x
GOV_TOLERATES_RELIGIONS_DESC;Does not care if others do not follow their religion;Peu importe si les autres ne suivent pas leur religion;Kümmert nicht, ob andere ihrer Religion folgen;;No le importa si otros no siguen su religión;;;;;;;;;x
GOV_RELIGION_TOLERATED_BY_OTHERS_DESC;Does not get opinion penalties with people of other religions;N'obtient pas de pénalité relationnelle avec les personnes d'une autre religion;Erhält keine Meinungsabzüge bei Personen anderer Religionen;;No tiene penalizaciones de opinión con gentes de otras religiones;;;;;;;;;x
GOV_NO_VASSAL_GOVERNMENT_PENALTIES_DESC;Does not get opinion penalties with vassals of other government types;N'obtient pas de pénalité relationnelle avec les vassaux d'autres types de gouvernement;Erhält keine Meinungsabzüge bei Vasallen mit anderer Regierungsform;;No tiene penalizaciones de opinión con vasallos de otros tipos de gobierno;;;;;;;;;x
#GOV_NO_VASSAL_GOVERNMENT_PENALTIES_DESC;Does not get opinion penalties with vassals of other government types;;Erhält keine Meinungsabzüge bei Vasallen mit anderer Regierungsform;;No tiene penalizaciones de opinión con vasallos de otros tipos de gobierno;;;;;;;;;x
TITLE_USURPTION_DISALLOWED;Is not an usurpable title;N'est pas un titre qui peut être usurpé;Ist kein usurpatorischer Titel;;Título inusurpable;;;;;;;;;x
succ_offmap_succession;Confucian Bureaucracy;Bureaucratie confucéenne;Konfuzianische Bürokratie;;Burocracia confuciana;;;;;;;;;x
offmap_succession;Appointment;Nomination;Ernennung;;Nombramiento;;;;;;;;;x
INTERACTION_ACTOR_NOT_COALITION;§Y[Actor.GetTitledFirstName]§! is not in a defensive pact against §Y[Recipient.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! n'est pas dans un pacte défensif contre §Y[Recipient.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! ist nicht in einem Verteidigungspakt gegen §Y[Recipient.GetTitledFirstName]§!;;§Y[Actor.GetTitledFirstName]§! no está en un pacto defensivo contra §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;x
ATTRITION_AT_SEA;Naval attrition: $VALUE|R$%;Attrition: $VALUE|R$%;Flottenzermürbung: §R$VALUE$%§!;;Desgaste naval: $VALUE|R$%;;;;;;;;;x
OUT_OF_SUPPLIES_ATTRITION;Attrition from out of supply: $VALUE|R$%;Attrition à cause de la pénurie de ravitaillement: $VALUE|R$%;Verschleiß aufgrund von Unterversorgung: §R$VALUE$%§!;;Desgaste por falta de suministros: $VALUE|R$%;;;;;;;;;x
ABOVE_SUPPLY_LIMIT_ATTRITION;Attrition from supply limit: $VALUE|R$%;Attrition à cause de la capacité de ravitaillement: $VALUE|R$%;Verschleiß durch Versorgungslimit: §R$VALUE$%§!;;Desgaste por límite de suministros: $VALUE|R$%;;;;;;;;;x
ATTRITION_COMMANDER_EFFECT;$LEADER|Y$: $VALUE$;$LEADER|Y$: $VALUE$;$LEADER|Y$: $VALUE$;;$LEADER|Y$: $VALUE$;;;;;;;;;x
ATTRITION_CURRENT;Total monthly attrition: §Y$VALUE$%§!;Attrition mensuelle totale: §Y$VALUE$%§!;Gesamter monatlicher Verschleiß: §Y$VALUE$%§!;;Desgaste mensual total: §Y$VALUE$%§!;;;;;;;;;x
MODIFIER_ARMY_REINFORCE_RATE;Levy Reinforcement Rate;Taux de renfort des troupes;Verstärkungsrate (Lehnstruppen);;Ritmo de refuerzos de levas;;;;;;;;;x
UNIT_LEADER_REINFORCE_RATE;Reinforcement rate changed by $REINFORCE$ by $LEADER|Y$;Taux de renfort changé de $REINFORCE$ par $LEADER|Y$;Verstärkungsrate ändert sich um $REINFORCE$ durch $LEADER|Y$;;Ritmo de refuerzos cambiado en $REINFORCE$ por $LEADER|Y$;;;;;;;;;x
SKIRMISH_ATTACK;Skirmish Damage;Dégâts en escarmouche;Scharmützelschaden;;Daño escaramuza;;;;;;;;;x
SKIRMISH_DEFENCE;Skirmish Defense;Défense en escarmouche;Scharmützelverteidigung;;Defensa escaramuza;;;;;;;;;x
MELEE_ATTACK;Melee Damage;Dégâts en mêlée;Nahkampfschaden;;Daño melé;;;;;;;;;x
MELEE_DEFENCE;Melee Defense;Défense en mêlée;Nahkampfverteidigung;;Defensa melé;;;;;;;;;x
PURSUIT_ATTACK;Pursuit Damage;Dégâts en poursuite;Verfolgungsschaden;;Daño persecución;;;;;;;;;x
PURSUIT_DEFENCE;Pursuit Defense;Défense en poursuite;Verfolgungsverteidigung;;Defensa persecución;;;;;;;;;x
PHASE_COMBAT_MODIFIER;$PHASE$ Damage Modifier: $PERC$;Modificateur de dégât en $PHASE$: $PERC$;$PHASE$-Schadensmodifikator: $PERC$;;$PHASE$ modificador de daño: $PERC$;;;;;;;;;x
ANY_NEIGHBOR_INDEPENDENT_RULER_STARTS;Any Neighbor Independent Ruler;N'importe quel dirigeant indépendant voisin;Beliebiger benachbarter unabhängiger Herrscher;;Cualquier gobernante vecino independiente;;;;;;;;;x
DEMESNE_SIZE_PERCENTAGE;Has demesne size §Y$COMPARISON$ $VALUE$%§! of demesne limit;A une taille de domaine §Y$COMPARISON$ $VALUE$%§! de la limite de domaine;Hat eine Domänengröße von §Y$COMPARISON$ $VALUE$%§! des Domänen-Limit;;Tamaño de dominios del §Y$COMPARISON$ $VALUE$%§! de límite de dominios;;;;;;;;;x
TRIBUTARY_RELATIONSHIP;$TYPE|Y$ of §Y$SUZERAIN$§!;$TYPE|Y$ de §Y$SUZERAIN$§!;$TYPE|Y$ von §Y$SUZERAIN$§!;;$TYPE|Y$ de §Y$SUZERAIN$§!;;;;;;;;;x
GOV_CANNOT_CREATE_EMPIRES_DESC;Cannot create empires;Ne peut pas créer d'empire;Kann keine Reiche erstellen;;No puede crear imperios;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_EMPIRES;Cannot create empires;Ne peut pas créer d'empire;Kann keine Reiche erstellen;;No puede crear imperios;;;;;;;;;x
OFFMAP_VIEW_BUTTON_INSTANT;$OFFMAP|Y$\nOpen interaction with §Y$OFFMAP_SHORT$ China§!.;$OFFMAP|Y$\nOuvrir l'écran d’interaction avec la Chine des §Y$OFFMAP_SHORT$§!.;$OFFMAP|Y$\nInteraktion mit §Y$OFFMAP_SHORT$-China§! öffnen.;;$OFFMAP|Y$\n¡Interacción abierta con §Y$OFFMAP_SHORT$ China§!.;;;;;;;;;x
NOT_EQUAL;NOT equal to;Pas égal à;Nicht gleich zu;;NO igual que;;;;;;;;;x
RELATIVE_REALM_SIZE;Realm size is §Y$COMPARISON$ $VALUE$%§! of $WHO|Y$'s realm size;La taille du pays est §Y$COMPARISON$ $VALUE$%§! comparativement à celle de $WHO|Y$;Reichsgröße ist §Y$COMPARISON$ $VALUE$%§! der Größe von $WHO|Y$;;Tamaño de reino del §Y$COMPARISON$ $VALUE$%§! del de $WHO|Y$;;;;;;;;;x
TOTAL_REALM_SIZE;Realm Size: $SIZE|Y$;Taille du pays: $SIZE|Y$;Reichsgröße: $SIZE|Y$;;Tamaño de reino: $SIZE|Y$;;;;;;;;;x
AIREASON_ATTACK_ON_TRIBUTARY;War against fellow tributary;Guerre contre un tributaire;Krieg gegen befreundeten Tributstaat;;Guerra contra compañero tributario;;;;;;;;;x
