#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
MNM.70320.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Fortunately enough [my_liege.GetBestName] decided that I am to go free - though I will be branded as an apostate.;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.GetNoneE] ! [my_liege.job_spiritual.GetIlElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.GetNoneE], m'accusant d'apostasie. Heureusement, [my_liege.GetBestName] a décidé que je devais être libéré[Root.GetNoneE] - bien que catalogué[Root.GetNoneE] comme apostat[Root.GetNoneE].;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Glücklicherweise hat [my_liege.GetBestName] entschieden, dass ich freigelassen, aber als Abtrünniger gebrandmarkt werden soll.;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. Por suerte, [my_liege.GetBestName] decidió que debo quedar libre, aunque me marcarán como apóstata.;;;;;;;;;x
MNM.70320.a;Fortunate, in a way.;Fortuné, en quelque sorte.;In gewisser Weise kann man das wahrlich ein Glück nennen.;;En cierta manera, he tenido suerte.;;;;;;;;;x
MNM.70330.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Fortunately enough [my_liege.GetBestName] decided that I am to go free - [my_liege.GetFirstName] was evidently convinced of my innocence!;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.GetNoneE] ! [my_liege.job_spiritual.GetIlElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.GetNoneE], m'accusant d'apostasie. Heureusement, [my_liege.GetBestName] a décidé que je devais être libéré[Root.GetNoneE] - [my_liege.GetFirstName] était manifestement convaincu[my_liege.GetNoneE] de mon innocence !;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Glücklicherweise hat [my_liege.GetBestName] entschieden, dass ich freigelassen werden soll. [my_liege.GetFirstName] war offenkundig von meiner Unschuld überzeugt!;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. Por suerte, [my_liege.GetBestName] decidió que debo quedar libre. ¡Evidentemente tenía convicción de mi inocencia!;;;;;;;;;x
MNM.70330.a;I walk free!;Je suis libre !;Ich bin frei!;;¡Soy libre!;;;;;;;;;x
MNM.70400.d.executed;Disaster! Your fellow member of [Root.Society.GetName], [From.GetBestName], has been caught by [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] and [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! They spared no time before they burned [From.GetHerHim] at the stake...;Catastrophe ! Votre [From.GetSisterBrother] [Root.GetSocietyNameDuDelaDes], [From.GetBestName], a été arrêté[From.GetNoneE] par [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ! Ils l'ont brûlé[From.GetNoneE] vi[From.GetFVe] peu de temps après...;Welch ein Unglück! [From.GetBestName], ein anderes Mitglied des [Root.Society.GetName]-Zirkels, wurde von [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] und [my_liege.job_spiritual.GetHerHis]er [my_liege.job_spiritual.GetReligionWarrior]schar gefangen genommen! Sie haben [From.GetBestName] auf schnellstem Wege auf dem Scheiterhaufen verbrannt ...;;¡Desastre! ¡[my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] y sus [my_liege.job_spiritual.GetReligionWarrior]s han apresado a [From.GetBestName], tu camarada de [Root.Society.GetName]! No tardaron en quemar su cuerpo en la estaca...;;;;;;;;;x
MNM.70400.d.imprisoned;Disaster! Your fellow member of [Root.Society.GetName], [From.GetBestName], has been caught by [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] and [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! [From.GetSheHeCap] now rots away in [my_liege.GetTitle] [my_liege.GetFirstName]'s dungeon...;Catastrophe ! Votre [From.GetSisterBrother] [Root.GetSocietyNameDuDelaDes], [From.GetBestName], a été arrêté[From.GetNoneE] par [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ! [From.GetIlElleCap] croupit à présent dans un cachot...;Welch ein Unglück! [From.GetBestName], ein anderes Mitglied des [Root.Society.GetName]-Zirkels, wurde von [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] und [my_liege.job_spiritual.GetHerHis]er [my_liege.job_spiritual.GetReligionWarrior]schar gefangen genommen! Jetzt schmachtet [From.GetSheHe] im Kerker von [my_liege.GetTitle] [my_liege.GetFirstName] dahin ...;;¡Desastre! ¡[my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] y sus [my_liege.job_spiritual.GetReligionWarrior]s han apresado a [From.GetBestName], tu camarada de [Root.Society.GetName]! Ahora, se pudre en el calabozo de [my_liege.GetTitle] [my_liege.GetFirstName]...;;;;;;;;;x
MNM.70400.d.caught;Disaster! Your fellow member of [Root.Society.GetName], [From.GetBestName], has been caught by [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] and [my_liege.job_spiritual.GetHerHis] [my_liege.job_spiritual.GetReligionWarriorPlural]! They used hot irons to brand [From.GetFirstName] an apostate, fortunately they spared [From.GetHerHis] life...;Catastrophe ! Votre [From.GetSisterBrother] [Root.GetSocietyNameDuDelaDes], [From.GetBestName], a été arrêté[From.GetNoneE] par [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ! Ils ont utilisé des fers chauds pour [From.GetLeLa] marquer comme apostat[From.GetNoneE]. Ils l'ont néanmoins épargné[From.GetNoneE] ...;Welch ein Unglück! [From.GetBestName], ein anderes Mitglied des [Root.Society.GetName]-Zirkels, wurde von [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] und [my_liege.job_spiritual.GetHerHis]er [my_liege.job_spiritual.GetReligionWarrior]schar gefangen genommen! Sie haben [From.GetFirstName] mit glühenden Eisen als Abtrünnigen gebrandmarkt, aber zum Glück [From.GetHerHis] Leben verschont ...;;¡Desastre! ¡[my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName] y sus [my_liege.job_spiritual.GetReligionWarrior]s han apresado a [From.GetBestName], tu camarada de [Root.Society.GetName]! Usaron hierros calientes para marcar a [From.GetFirstName] como apóstata, aunque por suerte, le perdonaron la vida...;;;;;;;;;x
MNM.70400.a;It is a sign for me to lay low...;C'est le moment pour moi de faire profil bas...;Das deute ich als ein Omen, dass ich nicht auffallen darf ...;;Es una señal de que debo evitar exponerme...;;;;;;;;;x
alert_close_gates_name;Close the Gates;Fermer les portes;Tore schließen;;Cerrar las puertas;;;;;;;;;x
alert_open_gates_name;Open the Gates;Ouvrir les portes;Tore öffnen;;Abrir las puertas;;;;;;;;;x
EVTOPTA_TOG_621_Aztec_Religious_Head;Your vile pantheon of gods have no power here, [From.GetBestName]!;Votre vil panthéon de dieux n'a aucun pouvoir ici, [From.GetBestName] !;Euer abscheuliches Pantheon von Göttern hat hier keine Macht, [From.GetBestName]!;;¡Tu repugnante panteón de dioses no tiene ningún poder, [From.GetBestName]!;;;;;;;;;x
String_Muslim;Muslim;musulman;Mohammedaner;;Musulmán;;;;;;;;;x
monastic_order_convert_county;Convert County;Convertir le comté;Grafschaft konvertieren;;Convertir condado;;;;;;;;;x
monastic_order_convert_county_desc;Send emissaries from [From.Society.GetName] to the local population in order to convert them to the [From.Religion.GetName] faith.;Envoyer des émissaires [From.GetSocietyNameDuDelaDes] à la population locale afin de les convertir à la foi [From.Religion.GetName].;Schickt Gesandte des [From.Society.GetName]-Zirkels zur örtlichen Bevölkerung, um diese zum [From.Religion.GetName]en Glauben zu bekehren.;;Envía emisarios de [From.Society.GetName] a la población local para convertirlos a la fe [From.Religion.GetName].;;;;;;;;;x
monastic_order_convert_county_power_desc;Enables §Gright-clicking§! the title shield of a county to convert the local population to your religion.;Permet de convertir la population locale à votre religion.\n(Faites un clic droit sur un blason de titre d'un comté);Ermöglicht einen §GRechtsklick§! auf den Titelschild einer Grafschaft, um die örtliche Bevölkerung zu Eurer Religion zu bekehren.;;Activa el §Gclic con el botón secundario§! en el escudo del condado para convertir a la población local a tu religión.;;;;;;;;;x
EVTDESC_MNM_4990;A majority of the population in [From.GetName] has embraced the [Root.Religion.GetName] faith.;La majorité de la population en [From.GetName] a embrassé la foi [Root.Religion.GetName].;Eine Mehrheit der Bevölkerung in [From.GetName] hat den [Root.Religion.GetName]en Glauben angenommen.;;Una mayoría de la población de [From.GetName] ha abrazado la fe [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_MNM_4991;A courier is brought before me with a message, telling me that [FromFrom.GetTitledFirstName] has sent emissaries to [From.GetName] who have successfully managed to persuade the populace to embrace the [FromFrom.Religion.GetName] faith.;Un messager est présenté devant moi avec un message, me disant que [FromFrom.GetTitledFirstName] a envoyé des émissaires en [From.GetName] qui ont réussi à convaincre la population d'embrasser la foi [FromFrom.Religion.GetName].;Es wird ein Bote mit der Nachricht zu mir gebracht, dass [FromFrom.GetTitledFirstName] Gesandte nach [From.GetName] geschickt hat, die Erfolg darin hatten, die Bevölkerung zum [FromFrom.Religion.GetName]en Glauben zu bekehren.;;Han traído ante mí a un mensajero con un comunicado. En él se dice que [FromFrom.GetTitledFirstName] ha enviado emisarios a [From.GetName] que han logrado persuadir al populacho a abrazar la fe [FromFrom.Religion.GetName].;;;;;;;;;x
TRIGGER_ARTIFACT_OWNER;Artifact Owner;Propriétaire d'artefact;Besitzer des Artefakts;;Propietario de artefacto;;;;;;;;;x
TRIGGER_ARTIFACT_ORIGINAL_OWNER;Artifact Original Owner;Premier propriétaire de l'artefact;Ursprünglicher Besitzer des Artefakts;;Propietario original de artefacto;;;;;;;;;x
# INHERITANCE_LOST_ARTIFACTS_SETUP;During the transfer of power, your $ARTIFACT|Y$ got lost;Pendant le transfert du pouvoir, votre '$ARTIFACT|Y$' a été perdu;Während des Machtwechsels ging Euer Artefakt $ARTIFACT|Y$ verloren;;Durante el traspaso de poder, tu $ARTIFACT|Y$ se perdió.;;;;;;;;;x
# INHERITANCE_LOST_ARTIFACTS_MULTIPLE_SETUP;During the transfer of power, your $ARTIFACT|Y$ and others got lost;Pendant le transfert du pouvoir, votre '$ARTIFACT|Y$' et d'autres ont été perdus;Während des Machtwechsels ging unter anderem Euer Artefakt $ARTIFACT|Y$ verloren;;Durante el traspaso de poder, tu $ARTIFACT|Y$ y otros se perdieron.;;;;;;;;;x
INHERITANCE_LOST_ARTIFACTS_LOG;During the transfer of power, $CHARACTER$ lost their $ARTIFACT$.;Pendant le transfert du pouvoir, $CHARACTER$ a perdu '$ARTIFACT$'.;Während des Machtwechsels verlor $CHARACTER$ das Artefakt $ARTIFACT$.;;Durante el traspaso de poder, $CHARACTER$ perdió su $ARTIFACT$.;;;;;;;;;x
# INHERITANCE_LOST_ARTIFACTS_MULTIPLE_LOG;During the transfer of power, $CHARACTER$ lost their $ARTIFACT$ and others;Pendant le transfert du pouvoir, $CHARACTER$ a perdu '$ARTIFACT$' et d'autres objets;Während des Machtwechsels verlor $CHARACTER$ unter anderem das Artefakt $ARTIFACT|Y$;;Durante el traspaso de poder, $CHARACTER$ perdió su $ARTIFACT$ y otros.;;;;;;;;;x
ask_wards_liege_to_allow_culture_religion_swap_desc;Send a letter to §Y[Root.Liege.GetTitledFirstName]§! asking for permission to change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on §YHeritage§! will make §Y[Root.GetFirstName]§! adopt the Guardian's religion and culture.;Envoyer une lettre à §Y[Root.Liege.GetTitledFirstName]§! demandant la permission de changer ce sur quoi se concentre l'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur l'§Yhéritage§! lui fera adopter la religion et la culture du tuteur.;Schickt einen Brief an §Y[Root.Liege.GetTitledFirstName]§! und bittet um die Erlaubnis, den Schwerpunkt bei der Erziehung von §Y[Root.GetFirstName]§! ändern zu dürfen. Den Schwerpunkt bei der Erziehung auf §YTradition§! zu legen, wird §Y[Root.GetFirstName]§! dazu bringen, die Religion und die Kultur des Vormunds anzunehmen.;;Enviar una carta a §Y[Root.Liege.GetTitledFirstName]§! pidiendo permiso para cambiar el foco de la educación de §Y[Root.GetFirstName]§!. Centrarse en la §Yherencia§! hará que §Y[Root.GetFirstName]§! adopte la religión y cultura del tutor.;;;;;;;;;x
change_wards_focus_to_heritage_desc;Change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on §YHeritage§! will make §Y[Root.GetFirstName]§! adopt the Guardian's religion and culture.;Changer ce sur quoi se concentre l'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur l'§Yhéritage§! lui fera adopter la religion et la culture du tuteur.;Ändert den Schwerpunkt bei der Erziehung von §Y[Root.GetFirstName]§!. Den Schwerpunkt bei der Erziehung auf §YTradition§! zu legen, wird §Y[Root.GetFirstName]§! dazu bringen, die Religion und die Kultur des Vormunds anzunehmen.;;Cambia el foco de la educación de §Y[Root.GetFirstName]§!. Centrarse en la §Yherencia§! hará que §Y[Root.GetFirstName]§! adopte la religión y cultura del tutor.;;;;;;;;;x
EVTDESC_ZE_2131;Dear [Root.GetTitledNameWithNick],\n\nYour initiative to teach [FromFrom.GetFirstName] about Heritage is most welcome.;Ch[Root.GetErEre] [Root.GetTitledNameWithNick],\n\nVotre initiative d'enseigner l'importance de l'héritage à [FromFrom.GetFirstName] est la bienvenue.;Liebe[Root.GetrMale] [Root.GetTitledNameWithNick],\n\nEure Initiative, [FromFrom.GetFirstName] in Tradition zu unterrichten, ist höchst willkommen.;;[Root.GetTitledNameWithNick]:\n\nTu iniciativa de enseñar a [FromFrom.GetFirstName] sobre su herencia es bienvenida.;;;;;;;;;x
EVTOPTA_ZE_2131;[FromFrom.GetSubjectPronounCap] will be taught well.;Ce sera un bon enseignement.;[FromFrom.GetSubjectSheHeCap] wird gut unterrichtet werden.;;Recibirá una buena educación.;;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_TITLE;Give Artifact;Donner un artefact;Artefakt hergeben;;Dar artefacto;;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_DESC;Gift §Y[Recipient.GetBestName]§! with an Artifact from your Treasury.;Offrir à §Y[Recipient.GetBestName]§! un artefact de votre Trésor.;Schenkt §Y[Recipient.GetBestName]§! ein Artefakt aus Eurer Schatzkammer.;;Regala a §Y[Recipient.GetBestName]§! un artefacto de tu cámara del tesoro.;;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_LONG_DESC;You can offer one of your Artifacts as a gift.;Vous pouvez offrir un de vos artefacts comme un cadeau.;Ihr könnt eines Eurer Artefakte als Geschenk anbieten.;;Puedes enviar uno de tus artefactos como regalo.;;;;;;;;;x
GIVE_ARTIFACT_INTERACTION_0;Select an Artifact to give - gratitude will vary depending on quality and significance to the recipient.;Sélectionnez un artefact à donner - la gratitude varie en fonction de la qualité et de l'importance pour le destinataire.;Wählt ein Artefakt zum Verschenken aus. Die Dankbarkeit wird abhängig von der Qualität und der Bedeutung für den Empfänger variieren.;;Selecciona qué artefacto regalar. El nivel de gratitud variará según la calidad y el significado para su receptor.;;;;;;;;;x
